
,weight0,weight0_grad,weight1,weight1_grad,weight2,weight2_grad,weight3,weight3_grad,weight4,weight4_grad,weight0,weight0_grad,weight1,weight1_grad,weight2,weight2_grad,weight3,weight3_grad,weight4,weight4_grad,weight0,weight0_grad,weight1,weight1_grad,weight2,weight2_grad,weight3,weight3_grad,weight4,weight4_grad,weight0,weight0_grad,weight1,weight1_grad,weight2,weight2_grad,weight3,weight3_grad,weight4,weight4_grad,weight0,weight0_grad,weight1,weight1_grad,weight2,weight2_grad,weight3,weight3_grad,weight4,weight4_grad,
1.429314,1.451372,0.150095,1.281723,-0.147219,-0.309040,0.041929,-0.602243,0.020904,-0.284284,0.000000,-1.203655,0.010551,-0.443116,0.009406,-2.172185,0.006507,1.362036,-0.050956,0.842125,0.000000,-1.166364,-0.189048,1.039184,0.041414,-0.061842,0.053688,0.877032,0.091766,1.190670,0.000000,-0.799083,0.015813,1.493065,0.065202,0.449392,-0.110484,1.230753,-0.069293,-0.672948,0.000000,-1.027116,0.012588,0.755892,0.031197,-1.921559,0.008360,-1.616903,0.007578,0.258845,0.000000,
1.417268,1.436363,0.149412,1.296445,-0.146458,-0.313233,0.041646,-0.604333,0.020820,-0.284284,0.000000,-1.204710,0.010651,-0.444056,0.009393,-2.172836,0.006486,1.367132,-0.050487,0.842125,0.000000,-1.147460,-0.188722,1.035043,0.041226,-0.067210,0.053262,0.867855,0.090750,1.190670,0.000000,-0.800664,0.015954,1.486545,0.064752,0.460440,-0.109724,1.237682,-0.068641,-0.672948,0.000000,-1.028375,0.012705,0.752772,0.031087,-1.922395,0.008331,-1.617661,0.007558,0.258845,0.000000,
1.405340,1.421421,0.148724,1.311090,-0.145694,-0.317398,0.041363,-0.606415,0.020736,-0.284284,0.000000,-1.205775,0.010750,-0.444996,0.009380,-2.173484,0.006464,1.372180,-0.050027,0.842125,0.000000,-1.128587,-0.188387,1.030920,0.041036,-0.072537,0.052839,0.858780,0.089752,1.190670,0.000000,-0.802259,0.016093,1.480070,0.064303,0.471413,-0.108969,1.244546,-0.067998,-0.672948,0.000000,-1.029645,0.012820,0.749664,0.030976,-1.923229,0.008303,-1.618417,0.007537,0.258845,0.000000,
1.393530,1.406549,0.148030,1.325660,-0.144928,-0.321534,0.041082,-0.608489,0.020651,-0.284284,0.000000,-1.206850,0.010848,-0.445934,0.009366,-2.174131,0.006443,1.377183,-0.049577,0.842125,0.000000,-1.109749,-0.188045,1.026817,0.040845,-0.077821,0.052420,0.849805,0.088772,1.190670,0.000000,-0.803869,0.016232,1.473639,0.063855,0.482310,-0.108218,1.251346,-0.067363,-0.672948,0.000000,-1.030927,0.012935,0.746566,0.030862,-1.924059,0.008273,-1.619170,0.007516,0.258845,0.000000,
1.381836,1.391746,0.147330,1.340153,-0.144160,-0.325642,0.040802,-0.610554,0.020567,-0.284284,0.000000,-1.207935,0.010946,-0.446870,0.009351,-2.174775,0.006421,1.382141,-0.049135,0.842125,0.000000,-1.090944,-0.187695,1.022732,0.040653,-0.083062,0.052004,0.840928,0.087810,1.190670,0.000000,-0.805492,0.016370,1.467254,0.063408,0.493131,-0.107472,1.258082,-0.066737,-0.672948,0.000000,-1.032221,0.013049,0.743480,0.030748,-1.924886,0.008244,-1.619922,0.007496,0.258845,0.000000,
1.370258,1.377013,0.146625,1.354569,-0.143389,-0.329723,0.040524,-0.612611,0.020483,-0.284284,0.000000,-1.209029,0.011043,-0.447805,0.009336,-2.175417,0.006399,1.387054,-0.048702,0.842125,0.000000,-1.072175,-0.187337,1.018667,0.040459,-0.088263,0.051592,0.832147,0.086864,1.190670,0.000000,-0.807129,0.016506,1.460913,0.062963,0.503879,-0.106730,1.264756,-0.066119,-0.672948,0.000000,-1.033526,0.013162,0.740405,0.030632,-1.925711,0.008215,-1.620672,0.007475,0.258845,0.000000,
1.358795,1.362350,0.145915,1.368908,-0.142617,-0.333775,0.040248,-0.614659,0.020399,-0.284284,0.000000,-1.210134,0.011140,-0.448739,0.009319,-2.176057,0.006377,1.391925,-0.048278,0.842125,0.000000,-1.053441,-0.186970,1.014621,0.040264,-0.093422,0.051183,0.823461,0.085935,1.190670,0.000000,-0.808780,0.016641,1.454617,0.062519,0.514552,-0.105993,1.271368,-0.065509,-0.672948,0.000000,-1.034842,0.013274,0.737342,0.030514,-1.926532,0.008185,-1.621419,0.007454,0.258845,0.000000,
1.347446,1.347759,0.145199,1.383169,-0.141842,-0.337800,0.039972,-0.616699,0.020315,-0.284284,0.000000,-1.211248,0.011236,-0.449671,0.009303,-2.176695,0.006355,1.396752,-0.047861,0.842125,0.000000,-1.034744,-0.186595,1.010594,0.040068,-0.098540,0.050777,0.814867,0.085022,1.190670,0.000000,-0.810444,0.016775,1.448365,0.062076,0.525151,-0.105260,1.277919,-0.064908,-0.672948,0.000000,-1.036169,0.013386,0.734291,0.030395,-1.927351,0.008155,-1.622164,0.007433,0.258845,0.000000,
1.336210,1.333239,0.144478,1.397353,-0.141066,-0.341797,0.039699,-0.618730,0.020231,-0.284284,0.000000,-1.212371,0.011331,-0.450601,0.009286,-2.177330,0.006333,1.401538,-0.047453,0.842125,0.000000,-1.016084,-0.186212,1.006588,0.039871,-0.103618,0.050375,0.806365,0.084125,1.190670,0.000000,-0.812121,0.016908,1.442157,0.061634,0.535677,-0.104532,1.284410,-0.064314,-0.672948,0.000000,-1.037508,0.013496,0.731251,0.030275,-1.928166,0.008125,-1.622908,0.007411,0.258845,0.000000,
1.325087,1.318791,0.143752,1.411460,-0.140288,-0.345767,0.039427,-0.620753,0.020147,-0.284284,0.000000,-1.213504,0.011425,-0.451530,0.009268,-2.177963,0.006311,1.406284,-0.047052,0.842125,0.000000,-0.997463,-0.185820,1.002600,0.039673,-0.108656,0.049977,0.797952,0.083243,1.190670,0.000000,-0.813812,0.017039,1.435994,0.061195,0.546130,-0.103809,1.290841,-0.063728,-0.672948,0.000000,-1.038857,0.013605,0.728224,0.030153,-1.928979,0.008095,-1.623649,0.007390,0.258845,0.000000,
